DISTGENSIZ,DISTGENTYP,SUB,Longitude,Latitude
4.10000000000,Solar,304,-104.75419588500,39.49884279800
3.80000000000,Solar,103,-105.35332770300,38.84288274300
6.86000000000,Solar,504,-105.36063201400,39.49895774100
3.80000000000,Solar,207,-104.72163912500,39.50323883400
8.50000000000,Solar,312,-104.57143739100,39.36331617300
6.10000000000,Solar,310,-105.07385080000,39.47429132300
3.80000000000,Solar,314,-104.81418827000,39.50129878200
6.00000000000,Solar,301,-104.83726256100,39.37261249500
2.10000000000,Solar,306,-104.49650152500,39.52014360700
3.90000000000,Solar,207,-104.73790916700,39.49824401200
7.60000000000,Solar,312,-104.55292745800,39.36450851500
7.59000000000,Solar,102,-105.23829781600,38.93417220800
7.50000000000,Solar,207,-104.68719206800,39.53752283800
1.90000000000,Solar,306,-104.64142221100,39.46627922700
6.60000000000,Solar,401,-104.26703217200,39.72087695600
